id,label,purchase_time,target_id,timestamp
136,login,,6,"2020-07-02 20:50:30.112821"
137,c_index,,6,"2020-07-02 20:50:30.349930"
138,book_get,,6,"2020-07-02 20:50:48.758540"
139,book_post,,6,"2020-07-02 20:51:04.388301"
140,book_complete,,6,"2020-07-02 20:51:04.618356"
141,reservation_list,,6,"2020-07-02 20:51:08.537536"
142,c_index,,6,"2020-07-02 20:51:13.997150"
143,book_get,,6,"2020-07-02 20:51:19.938805"
144,book_post,,6,"2020-07-02 20:51:33.657681"
145,book_complete,,6,"2020-07-02 20:51:33.917466"
146,reservation_list,,6,"2020-07-02 20:51:44.917157"
147,c_index,,6,"2020-07-02 20:51:50.137652"
148,login,,21,"2020-07-02 22:12:57.693045"
149,c_index,,21,"2020-07-02 22:12:57.768677"
150,book_get,,21,"2020-07-02 22:13:16.473141"
151,book_post,,21,"2020-07-02 22:13:32.869543"
152,book_post,,21,"2020-07-02 22:13:38.225187"
153,book_post,,21,"2020-07-02 22:13:43.921568"
154,book_post,,21,"2020-07-02 22:13:49.266865"
155,book_get,,21,"2020-07-02 22:13:54.479550"
156,book_post,,21,"2020-07-02 22:14:02.363592"
157,login,,15,"2020-07-02 22:46:27.656055"
158,c_index,,15,"2020-07-02 22:46:27.693852"
159,detail,,15,"2020-07-02 22:47:19.940501"
160,rank,,,"2020-07-02 22:47:37.688171"
161,c_index,,15,"2020-07-02 22:48:20.648187"
162,logout,,15,"2020-07-02 22:48:28.005270"
163,login,,27,"2020-07-02 22:49:30.871241"
164,f_index,,27,"2020-07-02 22:49:30.970931"
165,supply_list,,27,"2020-07-02 22:49:36.495005"
166,create_get,,27,"2020-07-02 22:49:42.710800"
167,f_index,,27,"2020-07-02 22:56:55.497830"
168,supply_list,,27,"2020-07-02 22:58:34.388933"
169,create_get,,27,"2020-07-02 22:58:38.641370"
170,c_index,,27,"2020-07-02 23:00:57.559289"
171,f_index,,27,"2020-07-02 23:03:43.203519"
172,logout,,27,"2020-07-02 23:03:51.856849"
173,login,,30,"2020-07-02 23:05:28.097550"
174,f_index,,30,"2020-07-02 23:05:31.352857"
175,create_get,,30,"2020-07-02 23:05:34.395102"
176,logout,,30,"2020-07-02 23:08:28.242501"
177,login,,29,"2020-07-02 23:09:00.698357"
178,f_index,,29,"2020-07-02 23:09:08.081582"
179,detail,,29,"2020-07-02 23:09:18.885380"
180,f_index,,29,"2020-07-02 23:09:23.332524"
181,create_get,,29,"2020-07-02 23:09:32.021514"
182,f_index,,29,"2020-07-02 23:11:03.328989"
183,supply_list,,29,"2020-07-02 23:11:14.298161"
